hop_count,N,accuracy_exact_within_group,precision_group_one_vs_rest,recall_group_one_vs_rest,f1_group_one_vs_rest,false_positive_rate,false_negative_rate,insufficient_evidence_rate
0,21,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,103,0.9805825242718447,0.9901960784313726,0.9805825242718447,0.9853658536585367,0.002976190476190476,0.019417475728155338,0.0
2,129,0.9844961240310077,0.927536231884058,0.9922480620155039,0.9588014981273408,0.03225806451612903,0.007751937984496124,0.0
3,20,1.0,0.9090909090909091,1.0,0.9523809523809523,0.00477326968973747,0.0,0.0
4,22,1.0,0.9166666666666666,1.0,0.9565217391304348,0.004796163069544364,0.0,0.0
