primary_entity_type,N,exact_accuracy,macro_f1,micro_f1,weighted_f1,binary_accuracy,binary_precision,binary_recall,binary_f1,false_positive_rate,false_negative_rate,tp,fp,fn,tn
bank_transaction,36,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0,0,8
gl_journal,20,1.0,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20,0,0,0
invoice,175,0.9657142857142857,0.42680345786963436,0.9657142857142857,0.9683965478083126,0.9657142857142857,0.9629629629629629,0.9811320754716981,0.9719626168224299,0.057971014492753624,0.018867924528301886,104,4,2,65
payment,208,0.9326923076923077,0.4694343266932186,0.9326923076923077,0.9330214297231291,0.9326923076923077,0.9440559440559441,0.9574468085106383,0.9507042253521126,0.11940298507462686,0.0425531914893617,135,8,6,59
