hop_count,N,accuracy_exact_within_group,precision_group_one_vs_rest,recall_group_one_vs_rest,f1_group_one_vs_rest,false_positive_rate,false_negative_rate,insufficient_evidence_rate
0,21,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,103,0.970873786407767,0.970873786407767,0.970873786407767,0.970873786407767,0.008928571428571428,0.02912621359223301,0.0
2,129,0.9844961240310077,0.9407407407407408,0.9844961240310077,0.9621212121212122,0.025806451612903226,0.015503875968992248,0.0
3,20,0.95,1.0,0.95,0.9743589743589743,0.0,0.05,0.0
4,22,0.9090909090909091,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.002398081534772182,0.09090909090909091,0.0
