feature,importance_mean,importance_std
categorical__invoice_payment_terms_NET60,0.0,0.0
categorical__invoice_payment_terms___MISSING__,0.0,0.0
categorical__invoice_status_CREDIT_APPLIED,0.0,0.0
categorical__invoice_status_RECEIVED,0.0,0.0
categorical__invoice_status___MISSING__,0.0,0.0
categorical__payment_currency_CAD,0.0,0.0
categorical__payment_currency_EUR,0.0,0.0
categorical__payment_currency_GBP,0.0,0.0
categorical__payment_currency_JPY,0.0,0.0
categorical__payment_currency___MISSING__,0.0,0.0
categorical__payment_method_ACH,0.0,0.0
categorical__payment_method_CHECK,0.0,0.0
categorical__payment_method_VIRTUAL_CARD,0.0,0.0
categorical__payment_method_WIRE,0.0,0.0
categorical__payment_method___MISSING__,0.0,0.0
categorical__payment_status_REVERSED,0.0,0.0
categorical__payment_status_SUBMITTED,0.0,0.0
categorical__payment_status___MISSING__,0.0,0.0
categorical__po_currency_CAD,0.0,0.0
categorical__po_currency_EUR,0.0,0.0
categorical__po_currency_GBP,0.0,0.0
categorical__po_currency_JPY,0.0,0.0
categorical__po_currency_USD,0.0,0.0
categorical__po_currency___MISSING__,0.0,0.0
categorical__po_department_FINANCE,0.0,0.0
categorical__po_department_IT,0.0,0.0
categorical__po_department_LEGAL,0.0,0.0
categorical__po_department_MARKETING,0.0,0.0
categorical__po_department_OPERATIONS,0.0,0.0
categorical__po_department_PEOPLE,0.0,0.0
categorical__po_department_SALES,0.0,0.0
categorical__po_department___MISSING__,0.0,0.0
categorical__po_gl_account_610100-ENGINEERING,0.0,0.0
categorical__po_gl_account_620100-OPERATIONS,0.0,0.0
categorical__po_gl_account_630100-FINANCE,0.0,0.0
categorical__po_gl_account_640100-SALES,0.0,0.0
categorical__po_gl_account_650100-MARKETING,0.0,0.0
categorical__po_gl_account_660100-PEOPLE,0.0,0.0
categorical__po_gl_account_670100-LEGAL,0.0,0.0
categorical__po_gl_account_680100-IT,0.0,0.0
categorical__po_gl_account___MISSING__,0.0,0.0
categorical__po_status_ISSUED,0.0,0.0
categorical__po_status___MISSING__,0.0,0.0
categorical__primary_entity_type_BANK_TRANSACTION,0.0,0.0
categorical__settlement_status_PENDING,0.0,0.0
categorical__settlement_status_REVERSED,0.0,0.0
categorical__settlement_status___MISSING__,0.0,0.0
categorical__vendor_country_CA,0.0,0.0
categorical__vendor_country_DE,0.0,0.0
categorical__vendor_country_GB,0.0,0.0
categorical__vendor_country_JP,0.0,0.0
categorical__vendor_country___MISSING__,0.0,0.0
categorical__vendor_currency_CAD,0.0,0.0
categorical__vendor_currency_EUR,0.0,0.0
categorical__vendor_currency_GBP,0.0,0.0
categorical__vendor_currency_JPY,0.0,0.0
categorical__vendor_currency_USD,0.0,0.0
categorical__vendor_currency___MISSING__,0.0,0.0
categorical__vendor_default_payment_method_ACH,0.0,0.0
categorical__vendor_default_payment_method_CHECK,0.0,0.0
categorical__vendor_default_payment_method_WIRE,0.0,0.0
categorical__vendor_default_payment_method___MISSING__,0.0,0.0
categorical__vendor_payment_terms_DUE_ON_RECEIPT,0.0,0.0
categorical__vendor_payment_terms_NET15,0.0,0.0
categorical__vendor_payment_terms_NET30,0.0,0.0
categorical__vendor_payment_terms_NET45,0.0,0.0
categorical__vendor_payment_terms_NET60,0.0,0.0
categorical__vendor_payment_terms___MISSING__,0.0,0.0
categorical__vendor_status_ACTIVE,0.0,0.0
categorical__vendor_status_ON_HOLD,0.0,0.0
categorical__vendor_status___MISSING__,0.0,0.0
categorical__vendor_type_LOGISTICS,0.0,0.0
categorical__vendor_type_PROFESSIONAL,0.0,0.0
categorical__vendor_type_SERVICES,0.0,0.0
categorical__vendor_type_SOFTWARE,0.0,0.0
categorical__vendor_type_SUPPLIER,0.0,0.0
categorical__vendor_type___MISSING__,0.0,0.0
numeric__all_invoice_lines_po_linked,0.0,0.0
numeric__allocation_count,0.0,0.0
numeric__allocations_all_invoices_found,0.0,0.0
numeric__any_invoice_line_missing_po_target,0.0,0.0
numeric__approval_distinct_role_count,0.0,0.0
numeric__approval_missing_employee_actor_count,0.0,0.0
numeric__bank_age_calendar_days,0.0,0.0
numeric__bank_reference_match_found,0.0,0.0
numeric__bank_reference_match_unique,0.0,0.0
numeric__days_invoice_to_payment,0.0,0.0
numeric__duplicate_min_amount_gap,0.0,0.0
numeric__final_approver_active,0.0,0.0
numeric__final_approver_employee_found,0.0,0.0
numeric__final_approver_role_match,0.0,0.0
numeric__fx_event_count,0.0,0.0
numeric__fx_journal_count,0.0,0.0
numeric__gl_balance_abs_diff,0.0,0.0
numeric__gl_cash_credit,0.0,0.0
numeric__gl_currency_all_match,0.0,0.0
numeric__gl_journal_count,0.0,0.0
numeric__gl_line_count,0.0,0.0
numeric__gl_period_all_match_payment_month,0.0,0.0
numeric__gl_source_found,0.0,0.0
numeric__gl_total_credit,0.0,0.0
numeric__gl_total_debit,0.0,0.0
numeric__invoice_due_lag_days,0.0,0.0
numeric__invoice_has_po,0.0,0.0
numeric__invoice_po_currency_match,0.0,0.0
numeric__invoice_po_line_amount_abs_diff,0.0,0.0
numeric__invoice_po_quantities_all_equal,0.0,0.0
numeric__invoice_po_shipping_abs_diff,0.0,0.0
numeric__invoice_po_tax_abs_diff,0.0,0.0
numeric__invoice_reference_present,0.0,0.0
numeric__invoice_subtotal,0.0,0.0
numeric__invoice_total,0.0,0.0
numeric__linked_invoice_count,0.0,0.0
numeric__missing_allocations,0.0,0.0
numeric__missing_amount,0.0,0.0
numeric__missing_approval,0.0,0.0
numeric__missing_bank_transaction,0.0,0.0
numeric__missing_currency,0.0,0.0
numeric__missing_employee,0.0,0.0
numeric__missing_gl,0.0,0.0
numeric__missing_invoice,0.0,0.0
numeric__missing_invoice_lines,0.0,0.0
numeric__missing_payment,0.0,0.0
numeric__missing_po,0.0,0.0
numeric__missing_po_lines,0.0,0.0
numeric__missing_reference,0.0,0.0
numeric__missing_vendor,0.0,0.0
numeric__missing_vendor_change_history,0.0,0.0
numeric__payment_allocated_rel_diff,0.0,0.0
numeric__payment_cash_credit_abs_diff,0.0,0.0
numeric__payment_has_allocations,0.0,0.0
numeric__payment_invoice_currency_all_match,0.0,0.0
numeric__payment_invoice_vendor_all_match,0.0,0.0
numeric__payment_reference_present,0.0,0.0
numeric__payment_reference_unique,0.0,0.0
numeric__payment_reference_use_count,0.0,0.0
numeric__po_found,0.0,0.0
numeric__po_line_quantity_sum,0.0,0.0
numeric__po_shipping,0.0,0.0
numeric__po_subtotal,0.0,0.0
numeric__po_total,0.0,0.0
numeric__scope_distinct_invoice_vendor_count,0.0,0.0
numeric__scope_distinct_payment_vendor_count,0.0,0.0
numeric__scope_invoice_count,0.0,0.0
numeric__scope_payment_count,0.0,0.0
numeric__vendor_bank_history_present,0.0,0.0
numeric__vendor_change_before_payment_count,0.0,0.0
numeric__vendor_change_count,0.0,0.0
numeric__vendor_current_token_match,0.0,0.0
numeric__bank_fee_debit_total,-1.6370673863119745e-05,0.001123600192586368
categorical__invoice_status_CANCELED,-8.052413446302253e-05,0.001057654664012156
categorical__bank_transaction_type_CHECK_CLEARING,-0.00011498294970160305,0.0011089613816806232
